Rank,English Idiom / Meaning,Original Ancient Greek,Erasmus's Latin Entry,Ancient Source / Origin,Modern Usage Frequency
62,He who laughs last laughs best,ὁ ὕστατον γελῶν ἄριστα γελᾷ,Ridet optimus qui novissimus ridet,Greek Comedy,Moderate
63,Honesty is the best policy,ἡ ἀλήθεια βεβαιοτάτη,Probitas optima politia,Euripides,Moderate
64,Hunger is the best sauce,λιμὸς ὄψον ἀρίστη,Fames est optimus coquus,Socrates / Xenophon,Moderate
65,Idle hands are the devil's workshop,ἀργία μήτηρ πάσης κακίας,Otium est pulvinar diaboli,Greek Wisdom,Moderate
66,Ignorance is bliss,τὸ μηδὲν εἰδέναι γλυκύτατος βίος,In inscitia vita jucundissima,Sophocles (Ajax),Moderate
67,Ill gotten gains never prosper,κακὰ κέρδη ἴσα ἄταις,Mala parta male dilabuntur,Hesiod,Moderate
68,Imitation is the sincerest flattery,μίμησις ἐπαίνου ἔνδειξις,Imitatio est laudatio,Aristotle,Moderate
69,In vino veritas (In wine there is truth),ἐν οἴνῳ ἀλήθεια (en oínōi alḗtheia),In vino veritas,Alcaeus / Theocritus,Moderate
70,It takes two to tango / Two to make a quarrel,εἷς ἀνὴρ οὐδεὶς ἀνήρ,Unus vir nullus vir,Euripides,Moderate
71,Let sleeping dogs lie,μὴ κίνει κακὸν εὖ κείμενον,Malum bene conditum ne moveris,Plato / Lucian,Moderate
72,"Life is short, art is long","ὁ βίος βραχύς, ἡ δὲ τέχνη μακρή","Ars longa, vita brevis",Hippocrates,Moderate
73,Like calls to like,ὅμοιον ὁμοίῳ φίλον,Simile gaudet simili,Plato (Lysis),Moderate
74,Love is blind,τυφλὸς ὁ Ἔρως (typhlòs ho Érōs),Amor caecus est,Plato,Moderate
75,Man is the measure of all things,πάντων χρημάτων μέτρον ἄνθρωπος,Homo omnium rerum mensura,Protagoras,Moderate
76,Many hands make light work,πολλῶν χεῖρες πλέον ἔργον ἄνυσι,Multorum manibus leve fit opus,Homer,Moderate
77,Misfortunes never come singly,κακὸν κακῷ ἕπεται,Aliud ex alio malum,Sophocles,Moderate
78,Money makes the world go round / Money is the man,χρήματα ἀνήρ (chrḗmata anḗr),Pecunia virum facit,Pindar,Moderate
79,"More haste, less speed",σπεῦδε βραδέως,Festina lente,Suetonius / Augustus,Moderate
80,Much ado about nothing,πολὺς θόρυβος δι᾽ οὐδέν,Magnus tumultus pro nihilo,Aristophanes,Moderate
81,Nature does nothing in vain,ἡ φύσις οὐδὲν μάτην ποιεῖ,Natura nihil frustra facit,Aristotle,Moderate
82,Necessity is the mother of invention,πενία τέχνας ἐγείρει (penía téchnas egeírein),Paupertas artium inventrix,Theocritus,Moderate
83,New brooms sweep clean,νέα σάρα νέως σαροῖ,Novus scopas bene scopat,Greek Folk Wisdom,Moderate
84,No gain without pain,ὁ μὴ δαρεὶς ἄνθρωπος οὐ παιδεύεται,Absque labore nihil,Menander,Moderate
85,No news is good news,τὸ μηδὲν ἀγγέλλειν ἀγαθόν,Nullus nuntius bonus nuntius,Greek Drama,Moderate
86,Nothing human is alien to me,ἄνθρωπος ὢν οὐδὲν ἡγούμην ξένον,"Homo sum, humani nihil a me alienum puto",Terence / Menander,Moderate
87,Opportunity makes the thief,ὁ καιρὸς πειρασμὸν φέρει,Occasio facit furem,Greek Comedy,Moderate
88,"Out of sight, out of mind",ἀπόντων φίλων λήθη,Absens haeres non erit,Homer / Euripides,Moderate
89,Patience is a virtue,ὑπομονὴ ἡγιοτάτη,Patientia virtus est,Cato / Greek Corpus,Moderate
90,Practice makes perfect,μελέτη τὸ πᾶν (melétē tò pân),Exercitatio artem parat,Periander,Moderate
91,Prevention is better than cure,τὸ προλαμβάνειν κρεῖσσον τοῦ θεραπεύειν,Praevenire melius est quam curare,Hippocrates,Moderate
92,Pride goes before a fall,ὕβρις φύτευει τύραννον,Superbia praecedit ruinam,Sophocles (Oedipus Rex),Moderate
93,Procrastination is the thief of time,ἀναβολὴ ὁ χρόνου κλέπτης,Procrastinatio fur temporis,Hesiod,Moderate
94,Rome was not built in a day,οὐ μί᾽ ἡμέρα τὴν πόλιν ἔκτισεν,Una dies non condidit urbem,Greek Proverbial Idea,Moderate
95,Seeing is believing,ὄψις πίστεως βεβαιωτής,Oculatus testis unus praestat auritis decem,Herodotus,Moderate
96,"Speech is silver, silence is golden","λόγος μὲν ἀργύριον, σιγὴ δὲ χρυσίον","Sermo argenteus, silentium aureum",Greek Gnomic Poets,Moderate
97,Still waters run deep,βαθέα ὕδατα σιγῇ ῥέει,Altissima flumina minima sono labuntur,Greek Folk Proverb,Moderate
98,The die is cast,ἀνερρίφθω κύβος (anerríphthō kýbos),Alea iacta est,Menander / Julius Caesar,Moderate
99,The end justifies the means,ὁ σκοπὸς ἁγιάζει τὰ μέσαι,Exitus acta probat,Ovid / Sophocles,Moderate
100,The exception proves the rule,ἡ ἐξαίρεσις βεβαιοῖ τὸν κανόνα,Exceptio probat regulam,Cicero / Greek Logic,Moderate
101,The gods sell all things for labor,τῶν πόνων πωλοῦσιν ἡμῖν πάντα τἀγάλθ᾽ οἱ θεοί,Di laboribus omnia vendunt,Epicharmus,Low-Moderate
102,The habit does not make the monk,οὐ τὸ σχῆμα ποιεῖ τὸν σοφόν,Cucullus non facit monachum,Plutarch,Low-Moderate
103,The pot calls the kettle black,ὁ λοπίον τὸ γήτειον ὀνειδίζει,Clodius accusat moechos,Aristophanes,Low-Moderate
104,There is no accounting for tastes,περὶ γεύσεως οὐκ ἔστι φιλονεικεῖν,De gustibus non est disputandum,Greek Proverb,Low-Moderate
105,To put salt on the tail,ἅλα ἐπιβάλλειν,Salem caudae imponere,Greek Humorous Saying,Low-Moderate
106,To err is human,ἀνθρώπινον τὸ ἁμαρτάνειν,Errare humanum est,Theognis / Sophocles,Low-Moderate
107,To give credit where credit is due,ἀποδιδόναι τὰ τοῦ Καίσαρος,Suum cuique tribuere,Plato (Republic),Low-Moderate
108,To tell tales out of school,ἐκφέρειν τὰ ἀπόρρητα,Arcana publicare,Aristophanes,Low-Moderate
109,Truth lies at the bottom of a well,ἐν βυθῷ γὰρ ἡ ἀλήθεια,In puteo veritas,Democritus,Low-Moderate
110,Two heads are better than one,σύν τε δύ᾽ ἐρχομένω,"Unus vir, nullus vir",Homer (Iliad),Low-Moderate
111,Unity is strength,ἰσχὺς ἐν τῇ ἑνώσει,Vis unita fortior,Aesop,Low-Moderate
112,Walls have ears,καὶ οἱ τοῖχοι φωνὴν ἔχουσιν,Parietes loquuntur,Greek Comedy,Low-Moderate
113,"Waste not, want not",φεῖδος ἄριστον,Parsimonia magnum vectigal,Hesiod,Low-Moderate
114,"When in Rome, do as the Romans do",ἕπου τοῖς ἐγχωρίοις νόμοις,"Si fueris Romae, Romano vivito more",Ambrose / Greek Ethos,Low-Moderate
115,"Where there is a will, there is a way","ὅπου θέλησις, ἐστὶ καὶ ὁδός","Ubi voluntas, ibi via",Greek Wisdom,Low-Moderate
116,You reap what you sow,"ἃ σπείρεις, ταῦτα καὶ θερίσεις","Ut sementem feceris, ita metes",Aristotle / Galatians,Low-Moderate
117,"Youth is a blunder, manhood a struggle, old age a regret","ἡ νεότης ἄνοια, τὸ γῆρας ἀσθένεια","Juventus error, senectus poenitentia",Greek Philosophical Maxim,Low-Moderate
118,Zero hour / The critical moment,ἐπὶ ξυροῦ ἀκμῆς,In acie novaculae,Homer,Low-Moderate
119,A golden key opens any door,χρυσὸς πάντα ἀνοίγει,Aureus clavis omnia aperit,Philip of Macedon,Low-Moderate
120,A house divided against itself cannot stand,πόλις ἑαυτῇ μερισθεῖσα οὐ σταθήσεται,Domus contra se divisa non stabit,Aesop / Gospel,Low-Moderate
121,A leopard cannot change its spots,ὁ πάρδαλις οὐ μεταβάλλει τὸ δέρμα,Pardus maculas non mutat,Greek Proverb,Low-Moderate
122,A penny saved is a penny earned,φεῖδος ἐν ἀρχῇ καὶ τέλει,Sartum tectum servare,Hesiod,Low-Moderate
123,A word to the wise is sufficient,τοῖς σοφοῖς ἀρκέει βραχέα,Verbum sapienti sat est,Menander,Low-Moderate
124,All that glitters is not gold,οὐ πᾶν τὸ λάμπον χρυσός ἐστιν,Non omne quod nitet aurum est,Greek Gnomic Poets,Low-Moderate
125,An apple a day keeps the doctor away,"μῆλον πρὸ κοίτης, τὸν ἰατρὸν φεύγειν",Pomum per diem medicum procul habet,Greek Folk Medicine,Low-Moderate
126,An eye for an eye,ὀφθαλμὸν ἀντὶ ὀφθαλμοῦ,Oculum pro oculo,Greek Legal Tradition,Low-Moderate
127,"As you make your bed, so you must lie on it","ὡς ἔστρωσας, οὕτω κοιμήθητι","Ut sementem feceris, ita metes",Greek Comedy,Low-Moderate
128,Barking up the wrong tree,πρὸς λάθος δένδρον ὑλακτεῖν,Ad falsam arborem latrare,Greek Hunting Lore,Low-Moderate
129,"Be swift to hear, slow to speak","ἄκουε πολλά, λάλει καίρια","Audi multa, loquere pauca",Bias of Priene,Low-Moderate
130,Beggars cannot be choosers,ὁ δεόμενος οὐκ αἱρεῖται,Mendico non est optio,Greek Proverb,Low-Moderate
131,Better an open enemy than a false friend,φανερὸς ἐχθρὸς κρείσσων φίλου ψευδοῦς,Inimicus apertus melior amico ficto,Modern / Greek Tragedians,Low-Moderate
132,Better safe than sorry,εὐλάβεια τῆς μεταμελείας κρείσσων,Cautela melior quam poenitentia,Isocrates,Low-Moderate
133,"Blood, sweat, and tears",ἱδρὼς καὶ αἷμα,Sanguis et sudor,Hesiod,Low-Moderate
134,By hook or by crook,παντὶ τρόπῳ,Quocumque modo,Greek Idiom,Low-Moderate
135,Call no man happy until he dies,μηδένα πρὸ τοῦ τέλους μακάριζε,Ante mortem nemo beatus,Solon / Herodotus,Low-Moderate
136,Charity begins at home,ἀφ᾽ ἑστίας ἄρχεσθαι,A lare inchoandum,Aristophanes,Low-Moderate
137,Cleanliness is next to godliness,καθαριότης ἐγγὺς θεότητος,Munditia proxima pietati,Greek Sacred Rules,Low-Moderate
138,Comparison is the thief of joy,σύγκρισις ἐχθρὸν εὐδαιμονίας,Comparatio invidiam parit,Epictetus,Low-Moderate
139,"Deeds, not words","ἔργα, οὐ λόγοι","Facta, non verba",Demosthenes,Low-Moderate
140,Don't count your chickens before they're hatched,μὴ πρὸ τῆς νίκης ἐγκωμίαζε,Ante victoriam ne canas triumphum,Aesop,Low-Moderate
141,Don't put all your eggs in one basket,μὴ ἐν μιᾷ νηῒ πάντα τίθεσθαι,Non uni navi omnia committenda,Plutarch,Low-Moderate
142,Early bird catches the worm,ὁ πρώϊος ὄρνις τὸν σκώληκα λαμβάνει,Qui mane surgit vegetus est,Hesiod,Low-Moderate
143,Every cloud has a silver lining,οὐδὲν κακὸν ἀμιγὲς ἀγαθοῦ,Nullum malum sine aliquo bono,Plutarch,Low-Moderate
144,Every dog has his day,ἔχει καὶ κύων τὴν ἡμέραν αὐτοῦ,Habet et muscipula diem,Euripides,Low-Moderate
145,Face the music,ὑπέχειν τὴν δίκην,Poenam subire,Greek Legal Tradition,Low-Moderate
146,Fortune favors the brave,"θάρσει, τῇ τύχῃ συμμαχοῦντι",Fortes fortuna adjuvat,Simonides,Low-Moderate
147,Give the devil his due,ἀποδιδόναι καὶ τῷ κακῷ τὸ δίκαιον,Etiam diabolo reddendum quod suum est,Greek Proverb,Low-Moderate
148,Go with the flow,ἕπου τῷ ῥεύματι,Sequere fluentum,Marcus Aurelius,Low-Moderate
149,Good things come to those who wait,τὰ ἀγαθὰ τοῖς ὑπομένουσι,Bona veniunt expectantibus,Greek Ethics,Low-Moderate
150,He who plays with fire gets burned,ὁ ἁπτόμενος πυρὸς καίεται,Qui tangit picem inquinabitur,Aesop,Low-Moderate
151,Honesty is a rare virtue,σπάνιον ἡ ἀλήθεια,Rara est probitas,Diogenes,Literary/Niche
152,"If the cap fits, wear it","εἰ ὁ χιτὼν ἁρμόζει, φόρει αὐτόν","Si calceus congruit, indue",Greek Idiom,Literary/Niche
153,It is never too late to learn,γηράσκω δ᾽ αἰεὶ πολλὰ διδασκόμενος,Nulla aetas ad discendum sera est,Solon,Literary/Niche
154,"Jack of all trades, master of none","πολλ᾽ ἠπίστατο ἔργα, κακῶς δ᾽ ἠπίστατο πάντα","Multiscius, nullius peritus",Homer (Margites),Literary/Niche
155,Keep your friends close and your enemies closer,"φίλους μὲν ἔχε, ἐχθροὺς δὲ σκοπεῖ","Amicos habe, inimicos observa",Thucydides,Literary/Niche
156,"Knowledge speaks, wisdom listens","ἡ μὲν γνῶσις λαλεῖ, ἡ δὲ σοφία ἀκούει","Scientia loquitur, sapientia audit",Pythagoras,Literary/Niche
157,Laugh and the world laughs with you,γελῶντι συνγελᾷ ὁ κόσμος,Ridenti adrident omnes,Greek Anthology,Literary/Niche
158,Live and let live,ζῆθι καὶ ἔα ζῆν,Vive et sine vivere,Greek Ethics,Literary/Niche
159,Look before you leap,ὁρᾷν πρὸ τοῦ πηδᾷν,Respice finem,Aesop,Literary/Niche
160,Love conquers all,πάντα νικᾷ ὁ Ἔρως,Omnia vincit amor,Theocritus / Virgil,Literary/Niche
161,Make hay while the sun shines,θερίζειν ἕως τὸ φῶς πάρεστιν,Dum lux est messem fac,Hesiod,Literary/Niche
162,"Man proposes, God disposes","ἄνθρωπος μὲν βουλεύεται, θεὸς δὲ τελειοῖ","Homo proponit, Deus disponit",Pindar / Homer,Literary/Niche
163,Money is the root of all evil,ῥίζα πάντων τῶν κακῶν ἡ φιλαργυρία,Radix omnium malorum cupiditas,Bion of Borysthenes,Literary/Niche
164,No man is an island,οὐδεὶς ἄνθρωπος αὐτάρκης μόνος,Nemo sibi satis est,Aristotle (Politics),Literary/Niche
165,Out of the mouth of babes,ἐκ στόματος νηπίων,Ex ore infantium,Septuagint / Greek Maxim,Literary/Niche
166,Pen is mightier than the sword,ὁ λόγος τοῦ σιδήρου ἰσχυρότερος,Calamus gladio fortior,Euripides,Literary/Niche
167,Practice what you preach,"ἃ διδάσκεις, ταῦτα ποίει","Quod doces, fac",Isocrates,Literary/Niche
168,Rome was not built in a day,οὐκ ἐν μιᾷ νυκτὶ ἡ πόλις γίγνεται,Non una die aedificatur urbs,Greek Proverb,Literary/Niche
169,Seeing is believing,ὀφθαλμοὶ μάρτυρες ἀκριβέστεροι ὤτων,Oculi sunt fideles testes,Heraclitus,Literary/Niche
170,The customer is always right,ὁ ἀγοραστὴς ἀεὶ δίκαιος,Emptor semper rectus,Greek Market Proverb,Literary/Niche
171,The early bird gets the worm,ὁ ὄρθριος πλεῖον αἴρει,Mane surgens praedam capit,Hesiod,Literary/Niche
172,The grass is always greener on the other side,τὰ τοῦ γείτονος βελτίω,Fertilior seges est alienis semper in agris,Ovid / Greek Origin,Literary/Niche
173,The truth will set you free,ἡ ἀλήθεια ἐλευθερώσει ὑμᾶς,Veritas liberabit vos,Greek Philosophical Thought,Literary/Niche
174,There is no time like the present,οὐδεὶς χρόνος ὡς ὁ παρών,Nullum tempus sicut praesens,Pythagoras,Literary/Niche
175,"To err is human, to forgive divine","ἁμαρτεῖν ἀνθρώπινον, τὸ δὲ συγχωρεῖν θεῖον","Errare humanum, ignoscere divinum",Greek Ethics,Literary/Niche
176,Too many cooks spoil the broth,πολλοὶ στρατηγοὶ τὴν πόλιν ἀπολλύουσι,Multi imperatores perdunt urbem,Xenophon,Literary/Niche
177,Truth is stranger than fiction,ἡ ἀλήθεια τῆς πλασματίας θαυμασιωτέρα,Veritas fictione mirabilior,Lucian,Literary/Niche
178,Two wrongs don't make a right,οὐ τὸ κακὸν κακῷ ἰᾶται,Malum malo non curatur,Sophocles,Literary/Niche
179,Variety is the spice of life,μεταβολὴ πάντων γλυκύτατον,Varietas delectat,Euripides (Orestes),Literary/Niche
180,Walls have ears,καὶ οἱ τοῖχοι ἀκούουσιν,Parietes aures habent,Greek Proverb,Literary/Niche
181,"Where there's smoke, there's fire",οὐκ ἔστι καπνὸς ἄνευ πυρός,Non est fumus sine igne,Classical Tradition,Literary/Niche
182,"You can lead a horse to water, but you can't make it drink",βιάζεσθαι τὸν ἵππον πίνειν οὐ δύνασαι,Coguere equum bibere non potes,Greek Fable Lore,Literary/Niche
183,You can't judge a book by its cover,μὴ ἐκ τοῦ σχήματος κρῖνε,Non ex frontis specie judicandum,Aesop,Literary/Niche
184,A chain is only as strong as its weakest link,ὁ δεσμὸς ἐν τῷ ἀσθενεστάτῳ ἰσχύει,Catena tam valida est quam debilissimus anulus,Greek Mechanical Wisdom,Literary/Niche
185,A dog in the manger,ἡ ἐν τῇ φάτνῃ κύων,Canis in praesepi,Lucian / Aesop,Literary/Niche
186,A fool and his money are soon parted,ἄφρων καὶ χρήματα οὐ συμμένει,Stultus et pecunia cito separantur,Greek Comedy,Literary/Niche
187,A friend to all is a friend to none,"ᾧ πᾶσι φίλος, οὐδενὶ φίλος","Amicus omnibus, amicus nemini",Aristotle,Literary/Niche
188,A good beginning makes a good ending,ἀγαθὴ ἀρχὴ ἀγαθὸν τέλος ποιεῖ,Bonus initium bonum finem facit,Plato,Literary/Niche
189,A guilty conscience needs no accuser,τὸ συνειδὸς αὐτὸ κατηγορεῖ,Conscientia accusator silentus,Sophocles,Literary/Niche
190,A man is known by the company he keeps,γινώσκεται ἀνὴρ ἐκ τῶν ἑταίρων,Noscitur ex sociis,Euripides,Literary/Niche
191,A stitch in time saves nine,αἱρῶ τὸ ῥῆγμα πρὶν πλατυνθῇ,Sartura tempestiva multum servat,Greek Folk Lore,Literary/Niche
192,Actions speak louder than words,τὰ ἔργα τῶν λόγων μείζω φθέγγεται,Facta verbis validiora,Demosthenes,Literary/Niche
193,All roads lead to Rome / All roads lead to the goal,πᾶσαι ὁδοὶ εἰς ταὐτὸ φέρουσιν,Omnes viae eodem ferunt,Greek Geographers,Literary/Niche
194,An ounce of prevention is worth a pound of cure,μικρὰ προφυλακὴ μείζων θεραπείας,Praevisio melior quam medela,Hippocrates,Literary/Niche
195,Appearance is deceitful,ὄψις ἀπατηλή,Specia deceptitiosa,Aesop,Literary/Niche
196,Better to reign in hell than serve in heaven,ἄρχειν ἐν ᾅδῃ ἢ δουλεύειν ἐν οὐρανῷ,Imperare in orco quam servire in caelo,Homer (Achilles in Odyssey),Literary/Niche
197,Blood will tell,τὸ γένος φαίνεται,Sanguis se prodit,Homer,Literary/Niche
198,Climbing the ladder of success,κλίμακα ἀναβαίνειν,Gradatim ad summum,Pindar,Literary/Niche
199,Comparisons are odious,αἱ συγκρίσεις ἐπαχθεῖς,Comparitiones odiosae sunt,Greek Rhetoric,Literary/Niche
